Attribute;k=2 Inertia;k=2 Silhouette;k=3 Inertia;k=3 Silhouette;k=4 Inertia;k=4 Silhouette;k=5 Inertia;k=5 Silhouette;k=6 Inertia;k=6 Silhouette;k=7 Inertia;k=7 Silhouette;k=8 Inertia;k=8 Silhouette
moneyLine, opponentMoneyLine, secondHalfTotal;12.255882389381151;0.4742632810448944;7.526490704289535;0.4257381674238919;5.625975639931345;0.37745212705030357;4.704792652004395;0.3366998922461385;3.9779777942941843;0.3502898615229217;3.486115100008109;0.3509869248323312;3.0342235555999153;0.3681014200517687
moneyLine, opponentMoneyLine, spread;7.49982258873853;0.6571791914456269;4.143539752029259;0.5815770980422994;2.089399521487343;0.5910023008810904;1.3713431161136096;0.578970681408474;0.9864390693409806;0.5613553240303574;0.7435566915572442;0.5506400658723675;0.59493685640527;0.5470649741859497
moneyLine, opponentMoneyLine, total;14.603279073821287;0.5016853249734688;9.071007993871277;0.41714414841072;6.390083425512628;0.40863015612360776;5.0759502228787525;0.3763006528975017;4.3791674352482755;0.37749091976879207;3.87490879069475;0.3729902787866075;3.376563815636497;0.37131030399798887
moneyLine, spread, secondHalfTotal;33.96303523537708;0.3859421687026298;23.25661278247523;0.37209253777825946;16.398073829530915;0.37308755677511235;13.725450595514047;0.3561724235857735;11.656503189057059;0.35812822585544013;9.716925623370091;0.35439031640453283;8.707071400284425;0.34884708670310677
moneyLine, total, secondHalfTotal;26.157979644859967;0.4704587545300678;16.514501125640656;0.403109273964478;12.609914329966294;0.353406318057616;10.59753145341224;0.31581442603577564;9.056809623796145;0.3448899284503878;7.612654249296625;0.3711810889766322;6.825800689831999;0.35570097057799316
moneyLine, total, spread;41.678546120978616;0.32693058319966534;26.40071335037681;0.3737221589208921;18.827918314465872;0.37986889821467074;15.654400112904899;0.36421633042767015;13.26564805123791;0.3468061268526897;11.45899264619925;0.3446676142364765;10.181682131389113;0.33451144516831327
opponentMoneyLine, spread, secondHalfTotal;33.56557587083048;0.38451945168218227;22.772706267227576;0.3735521396918255;16.000196070416195;0.3769433467705638;13.327486927832439;0.35653658839904767;11.321685732981615;0.3352980235623776;9.506664120780336;0.3532588332538039;8.351787506271442;0.36323845359697454
opponentMoneyLine, total, secondHalfTotal;25.07782759323113;0.48224369204332884;15.436121788001488;0.4193961177565694;11.53321232180707;0.3727564339068643;9.529294756073334;0.33755900356532303;7.976790996337513;0.37215465672364145;6.539428750476489;0.402642661395707;5.811050482251222;0.36698784601180745
opponentMoneyLine, total, spread;40.627133569382615;0.3304661448579026;25.874629198072213;0.3736260650673168;18.436787039067625;0.38154022662329296;15.22659767667982;0.36753960278068054;12.876699776329833;0.35277349770380445;11.173823164611143;0.34807032836067425;9.977524689817587;0.3323404122403194
opponentScore, moneyLine, opponentMoneyLine;9.709971449629275;0.4647259711677974;6.0620111631758995;0.4159045776876304;4.5879752142618795;0.3755755200298251;3.946624230056649;0.3274882124497838;3.309585304537933;0.3538264356906905;2.825001560376333;0.3634182422260762;2.4351470063117606;0.3729195866264573
opponentScore, moneyLine, secondHalfTotal;27.795194341034513;0.3628006228441505;21.641966034237594;0.3110790388681696;16.928954650450137;0.3032924446380967;13.936487252909515;0.3025615342969718;12.03919136784025;0.29945795092505123;10.674679746602113;0.2891548102279056;9.53966382395737;0.29175855518211785
opponentScore, moneyLine, spread;25.816403890229388;0.4306722148611991;18.95039756305745;0.3708492769676204;13.610712488536569;0.3685906172425987;11.672288002284137;0.34534715113448644;9.98427913402937;0.33102719361069294;8.344016357818356;0.34046530353744914;7.310705590639009;0.3461939787046613
opponentScore, moneyLine, total;30.74350415059363;0.38269639048827786;23.860606165056275;0.30201326753975355;18.38759393210248;0.3128058876048921;15.361259012139904;0.30574388942708924;13.27746855687573;0.2983720660408545;11.690649571851594;0.29924373954983896;10.672382530117401;0.27981743071891657
opponentScore, opponentMoneyLine, secondHalfTotal;26.735111555343742;0.37270981431156075;20.65550400807338;0.31864258396150313;15.93184607531645;0.31541479035798037;12.895537332685736;0.3195149569663575;11.117075927247027;0.3104542077866138;9.722324675221687;0.3100047185081733;8.584090257809876;0.3079682558493561
opponentScore, opponentMoneyLine, spread;25.42168543738038;0.42869497634940656;18.53114898691406;0.36977510257429974;13.259735158313745;0.37090728282296115;11.43201670309092;0.3437356080887639;9.789921497933403;0.3232064832482072;8.155802469944957;0.33999324073112047;7.096465866682974;0.3499096350759408
opponentScore, opponentMoneyLine, total;29.67059107343249;0.39184689993739913;22.893703574149193;0.3108647058371061;17.446850262380746;0.32266455875515876;14.368447428607476;0.31925313877646566;12.251174946525598;0.31599287919304136;10.706176690034209;0.3165294585463011;9.67115221808777;0.3058294507928733
opponentScore, spread, secondHalfTotal;51.62119513112478;0.2852035962459877;38.48221447318046;0.2776629330524305;31.286181553943482;0.27204934401579256;27.945683922944607;0.2632268284679815;25.342572585549178;0.24008147289470855;22.566060163417966;0.24820708475264053;20.728922123721237;0.24296571735591815
opponentScore, total, secondHalfTotal;41.58099687987437;0.39668042886940685;31.68697412758256;0.3024687184551372;25.828490838023306;0.30120146515182517;22.025936759947808;0.2790333803849114;19.374596708401004;0.27606941332563495;17.46993006710754;0.26450513885341165;16.047360187330305;0.2512797047480995
opponentScore, total, spread;55.903758728897415;0.2868403674051666;41.60871146436053;0.28634766481796586;34.12573024873623;0.27520016436598815;30.231830426632982;0.25314250636851565;26.88446530229219;0.2470618792749394;24.4115722713136;0.25089366498789434;22.37174641512583;0.2545801237137984
score, moneyLine, opponentMoneyLine;7.89991523524195;0.453278468530672;5.314707123037561;0.3803617974965272;4.260783790233082;0.32950028892623046;3.4930940596315416;0.34567525649743674;2.9417756566385806;0.3626874389603645;2.4804614523019497;0.37374268642725655;2.166830807538298;0.3736885169528367
score, moneyLine, secondHalfTotal;24.491319455672656;0.3633038424698807;18.812925877624224;0.3040724699852086;14.387652280323609;0.3158328366416818;12.20543226398765;0.29931572791999184;10.658156180783287;0.28419328930904997;9.44217036400812;0.28144217400867805;8.704584271825897;0.27770789616728725
score, moneyLine, spread;21.864120793163966;0.45470989392362227;16.579598223662643;0.37202591051112704;11.952553215175417;0.3641239306113925;9.783543672022052;0.359444756489461;8.57551722037487;0.33737052277919216;7.505849099718477;0.32993141741760357;6.501402679819671;0.3507348130190614
score, moneyLine, total;26.854976514109932;0.39828302152429446;20.855364898771576;0.3060349680043706;16.535973445789345;0.3116257393772486;13.698252337715676;0.3008900548462497;11.678252809165045;0.2965194089523046;10.448091361795496;0.28515740640204684;9.588663672096098;0.28047479854443685
score, opponentMoneyLine, secondHalfTotal;23.41111706306049;0.3745979167958732;17.787114013408516;0.31266435743074017;13.33641508495096;0.33124753919823935;11.183535038087811;0.3153726133774332;9.627418986974671;0.30182995315384015;8.415405010653059;0.3032467965158861;7.657918047899001;0.2971384329086052
score, opponentMoneyLine, spread;21.478131324585835;0.453339438394996;16.228908710021646;0.3722361025669338;11.614873953250767;0.3668479444315535;9.622854023592195;0.3570738537806792;8.388936499387528;0.3428109052884845;7.359402906507803;0.3455276433141021;6.443800821352143;0.33951178213582694
score, opponentMoneyLine, total;25.774315357280578;0.40905962048867806;19.788003526980056;0.3180314402010872;15.500911856352571;0.3254046428453912;12.650788519191426;0.31712738633659543;10.65252476618149;0.3202098463857982;9.4110421001776;0.3041696223410227;8.610912103038121;0.2998436239272219
score, opponentScore, moneyLine;21.677695730513133;0.3459781821427871;16.46329914225426;0.31059542068800816;12.666522474734421;0.3137037984135842;10.655577216845002;0.2983988719835257;9.291560413256299;0.29039067122150836;8.2111420772587;0.2855228521805784;7.437662654910795;0.28643424166889275
score, opponentScore, opponentMoneyLine;20.620142774777133;0.3577305614034793;15.510027662282514;0.32269919810191255;11.744205468989295;0.32804262551857644;9.759700526409167;0.31627302323800344;8.423916538341608;0.30872538903988195;7.327813314989316;0.30737355740241334;6.534493310305846;0.31469228871052296
score, opponentScore, secondHalfTotal;38.74984599828572;0.3154260621051444;32.45081505951934;0.24228976616060338;26.982848472600164;0.24115310081344718;23.881741035198957;0.22628461232738079;21.175968663736995;0.24015971763221922;19.334355708755407;0.23487442470967376;17.541351906956475;0.23993090862049332
score, opponentScore, spread;39.900752150772014;0.33614165702497184;31.059047692383977;0.2908199825123057;24.739298622421813;0.2783240048913132;22.229313592420954;0.25264419049960846;19.645452314683904;0.25508055721600903;17.77234868711046;0.26234108118239124;15.961673874446966;0.26231059049987615
score, opponentScore, total;41.709316690145684;0.3373226286890133;34.6621813706205;0.24051231211691157;28.808714812469457;0.2505734219519636;25.26965885536037;0.24082433707660225;22.480000408164013;0.24835111942597773;20.28326990750153;0.2502506031918922;18.871196304432676;0.24440803803367764
score, spread, secondHalfTotal;47.90890459065487;0.30423716607205914;35.63708077584859;0.28889209268649235;28.451781894047613;0.28320746996763546;25.42009166608762;0.25809979622531193;22.731428443755902;0.24675566373018393;20.611635978359786;0.2535003472599292;18.512136683448368;0.2577507976697797
score, total, secondHalfTotal;37.60757532006164;0.4084610517390422;27.817842948062456;0.3172061690767622;23.409541695499605;0.3075301441252727;19.78908159080899;0.2791572876654549;17.339811484494962;0.277144627557423;15.841520656093769;0.2640695322989413;14.557578896203506;0.25152654327344065
score, total, spread;52.998458292963804;0.28434209458099213;38.46461475049607;0.2974620205319478;30.921144998212714;0.28795680393918227;27.449486691854027;0.26521899629824297;24.778017676669332;0.25998773097974615;22.43789131645128;0.25384651863728425;20.44148648464306;0.25484775775407037
total, spread, secondHalfTotal;52.23438614906731;0.34712013161128735;38.78993749673113;0.3292543358880298;30.213669789763006;0.3218788048464962;24.02268103718617;0.3253077855075726;21.042166400435438;0.30771447741661523;18.757739141028317;0.2826748839023757;17.074918237558762;0.2801766297126474
