Attribute;k=2 Inertia;k=2 Silhouette;k=3 Inertia;k=3 Silhouette;k=4 Inertia;k=4 Silhouette;k=5 Inertia;k=5 Silhouette;k=6 Inertia;k=6 Silhouette;k=7 Inertia;k=7 Silhouette;k=8 Inertia;k=8 Silhouette
score, opponentScore;19.72023689263239;0.3708059333630608;14.688089857441339;0.34392620600264295;10.944646392731494;0.347152424755157;8.981193292393513;0.33871198131595565;7.665448430006883;0.3304794042685093;6.557291369549913;0.33511623364597315;5.791875953862338;0.3421441822711344
score, moneyLine;7.034322863110859;0.47425504089044673;4.433265867921967;0.4103815525398052;3.4238776048950386;0.3561661412764851;2.8985229522431952;0.32794434010141715;2.42389793137433;0.34701964936598373;2.0891067198930515;0.3603047683250726;1.8335415950702894;0.3647248661950099
score, opponentMoneyLine;6.0110075642906375;0.5068485103364977;3.387067009430333;0.45843739034862646;2.400290926012764;0.4126884595683839;1.8865808430401922;0.38781988095827186;1.5765625396575982;0.3663597379957248;1.4093544216221727;0.3719198396365188;1.262609529006276;0.3516539617840634
score, total;24.856824684320394;0.420770066129467;18.877341049003626;0.33374328341900383;14.618223289335926;0.34191345413772634;11.771817142852989;0.3369559441556724;9.769840794529713;0.34146140877108877;8.557623359616631;0.3328314832816443;7.71870238776992;0.3281583414535995
score, spread;21.240424544449045;0.4503602207746968;15.972039227344638;0.37215096163996403;11.38595540331552;0.36778883420694075;9.446600320866619;0.3573225459602518;8.243659088171029;0.33722450615244026;7.208753216284681;0.33178737845832806;6.20921861275368;0.34362150503962685
score, secondHalfTotal;22.493835145293858;0.387209669117968;16.870796155837567;0.33343854376527876;12.437722207453138;0.35154081729981995;10.345272206903925;0.33466521464004223;8.754037833129345;0.3296455089421971;7.54613857551645;0.3327149342616385;6.773249672674554;0.3271612877053131
opponentScore, moneyLine;8.875369114819943;0.4834500904674656;5.238199722542003;0.4402967760213075;3.7743852098303865;0.4058697490804291;3.135003059889547;0.35659306872639274;2.6729562420765243;0.34501347768990076;2.3007495994714535;0.36020872176120966;2.0033061927448;0.37247465800360796
opponentScore, opponentMoneyLine;7.873851071414508;0.5120960149023142;4.255132512257561;0.47856291812938406;2.791571284889643;0.4563906002704646;2.1615273067551644;0.405338491062427;1.7054517277394463;0.404707297920165;1.480826974817218;0.37309968924278697;1.347701241272597;0.38163399599063824
opponentScore, total;28.762879639838822;0.4017435035680173;22.036261253907554;0.3267080064005826;16.572821521678918;0.33876526146173785;13.518379079686198;0.3370236572468398;11.402337748779342;0.3387886642311133;10.058333475829436;0.32179554549942774;8.79228295504966;0.3317335398754669
opponentScore, spread;25.136216908306054;0.42608965174758173;18.23474089075785;0.3697388359034619;13.042460939472047;0.37157685861542383;11.213364562429742;0.34673507044541557;9.58217679242221;0.3232282487075617;7.982139265851387;0.3431441221658507;6.968849539061182;0.34953292732565394
opponentScore, secondHalfTotal;25.83420712056799;0.38365967393190276;19.79436901410815;0.33428639934183924;15.08078631743941;0.3310459756656427;12.07888891033334;0.33793869848107966;10.22204543985601;0.337997346871438;8.881179044851923;0.33288724822136334;7.782854814684667;0.3328080131472628
moneyLine, opponentMoneyLine;0.8498696995829002;0.6682724472308293;0.40178935623353673;0.6704814316544404;0.23821663188185938;0.6633090762012605;0.15049222780646135;0.626063344032047;0.11412058847977757;0.6229591033654336;0.08560087173556076;0.6016959388398183;0.06142217300351265;0.6454707943257577
